date,open
2017-01-03,55.67
2017-01-04,56.16
2017-01-05,55.49
2017-01-06,55.26
2017-01-09,54.68
2017-01-10,54.35
2017-01-11,54.60
2017-01-12,54.65
2017-01-13,55.11
2017-01-17,54.80
2017-01-18,53.78
2017-01-19,54.24
2017-01-20,54.75
2017-01-23,54.71
2017-01-24,54.36
2017-01-25,55.38
2017-01-26,56.61
2017-01-27,57.03
2017-01-30,56.12
2017-01-31,55.98
2017-02-01,56.54
2017-02-02,55.57
2017-02-03,56.88
2017-02-06,57.08
2017-02-07,56.86
2017-02-08,56.21
2017-02-09,55.63
2017-02-10,57.02
2017-02-13,57.07
2017-02-14,57.13
2017-02-15,58.10
2017-02-16,58.36
2017-02-17,57.58
2017-02-21,58.25
2017-02-22,58.00
2017-02-23,58.43
2017-02-24,57.70
2017-02-27,57.81
2017-02-28,57.99
2017-03-01,59.11
2017-03-02,59.78
2017-03-03,58.85
2017-03-06,58.54
2017-03-07,58.43
2017-03-08,58.95
2017-03-09,58.45
2017-03-10,58.98
2017-03-13,58.83
2017-03-14,58.49
2017-03-15,58.90
2017-03-16,58.86
2017-03-17,59.37
2017-03-20,58.47
2017-03-21,57.93
2017-03-22,55.53
2017-03-23,55.23
2017-03-24,55.50
2017-03-27,54.63
2017-03-28,55.35
2017-03-29,55.94
2017-03-30,55.68
2017-03-31,56.02
2017-04-03,55.70
2017-04-04,55.30
2017-04-05,55.79
2017-04-06,54.95
2017-04-07,54.94
2017-04-10,54.99
2017-04-11,54.23
2017-04-12,53.95
2017-04-13,51.80
2017-04-17,51.64
2017-04-18,52.36
2017-04-19,52.88
2017-04-20,52.72
2017-04-21,53.39
2017-04-24,54.15
2017-04-25,54.33
2017-04-26,54.60
2017-04-27,54.54
2017-04-28,54.33
2017-05-01,54.10
2017-05-02,54.46
2017-05-03,54.01
2017-05-04,55.27
2017-05-05,55.25
2017-05-08,55.12
2017-05-09,55.14
2017-05-10,54.43
2017-05-11,54.28
2017-05-12,53.30
2017-05-15,53.06
2017-05-16,53.40
2017-05-17,53.26
2017-05-18,52.31
2017-05-19,52.57
2017-05-22,53.27
2017-05-23,53.01
2017-05-24,53.49
2017-05-25,53.25
2017-05-26,52.63
2017-05-30,52.16
2017-05-31,52.23
2017-06-01,51.53
2017-06-02,51.67
2017-06-05,51.71
2017-06-06,51.32
2017-06-07,51.84
2017-06-08,52.09
2017-06-09,52.86
2017-06-12,53.98
2017-06-13,54.35
2017-06-14,54.09
2017-06-15,54.04
2017-06-16,53.93
2017-06-19,54.31
2017-06-20,54.06
2017-06-21,53.47
2017-06-22,52.80
2017-06-23,52.70
2017-06-26,52.73
2017-06-27,53.02
2017-06-28,53.61
2017-06-29,55.65
2017-06-30,56.03
2017-07-03,55.81
2017-07-05,55.97
2017-07-06,55.98
2017-07-07,55.78
2017-07-10,55.53
2017-07-11,55.66
2017-07-12,54.93
2017-07-13,55.26
2017-07-14,54.31
2017-07-17,54.90
2017-07-18,54.31
2017-07-19,54.80
2017-07-20,54.96
2017-07-21,54.43
